model_name,developer,model_type,wh_per_query,wh_per_100_queries,co2_g_per_query,co2_g_per_100_queries,led_10W_seconds,wh_per_1000_queries,co2_g_per_1000_queries
dreamlike photoreal 2.0,dreamlike-art,Image,0.00058133,0.058133,0.00024242,0.024241,0.2093,0.58133,0.24241
openjourney v4,prompthero,Image,0.00020337,0.020337,8.48e-05,0.008481,0.0732,0.20337,0.08481
openjourney,prompthero,Image,0.00019688,0.019688,8.21e-05,0.00821,0.0709,0.19688,0.0821
LCM_Dreamshaper_v7,SimianLuo,Image,0.00032204,0.032204,0.00013429,0.013429,0.1159,0.32204,0.13429
epiCPhotoGasm,Yntec,Image,0.00058657,0.058657,0.0002446,0.02446,0.2112,0.58657,0.2446
Cond. DETR ResNet 50,Microsoft,Image,2.14e-06,0.000214,8.9e-07,8.9e-05,0.0008,0.00214,0.00089
DETR ResNet 50 DC5,Meta,Image,3.29e-06,0.000329,1.37e-06,0.000137,0.0012,0.00329,0.00137
DETR ResNet 50 DC5,Meta,Image,3.28e-06,0.000328,1.37e-06,0.000137,0.0012,0.00328,0.00137
DETR ResNet 101,Meta,Image,2.53e-06,0.000253,1.06e-06,0.000106,0.0009,0.00253,0.00106
yolos tiny,hustvl,Image,1e-06,0.0001,4.2e-07,4.2e-05,0.0004,0.001,0.00042
yolos small,hustvl,Image,3.28e-06,0.000328,1.37e-06,0.000137,0.0012,0.00328,0.00137
yolos base,hustvl,Image,7.98e-06,0.000798,3.33e-06,0.000333,0.0029,0.00798,0.00333
DistilBERT SQuAD,HuggingFace,Text,2.4e-07,2.4e-05,1e-07,1e-05,0.0001,0.00024,0.0001
MobileBERT SQuAD,Community,Text,9.4e-07,9.4e-05,3.9e-07,3.9e-05,0.0003,0.00094,0.00039
dynamic_tinybert,Intel,Text,2.1e-07,2.1e-05,9e-08,9e-06,0.0001,0.00021,9e-05
question_answering_v2,Falconsai,Text,2.3e-07,2.3e-05,9e-08,1e-05,0.0001,0.00023,0.0001
longformer large 4096 finetuned triviaqa,Allen AI,Text,3.97e-06,0.000397,1.66e-06,0.000166,0.0014,0.00397,0.00166
longformer base 4096 finetuned squadv2,Community,Text,1.79e-06,0.000179,7.5e-07,7.5e-05,0.0006,0.00179,0.00075
BERT Tiny SQuAD,Community,Text,6e-08,6e-06,2e-08,3e-06,0.0,6e-05,3e-05
deberta v3 large squad2,deepset,Text,1.88e-06,0.000188,7.8e-07,7.8e-05,0.0007,0.00188,0.00078
minilm uncased squad2,deepset,Text,2.5e-07,2.5e-05,1.1e-07,1e-05,0.0001,0.00025,0.0001
bert large uncased whole word masking squad2,deepset,Text,1.05e-06,0.000105,4.4e-07,4.4e-05,0.0004,0.00105,0.00044
deberta v3 base squad2,deepset,Text,8.1e-07,8.1e-05,3.4e-07,3.4e-05,0.0003,0.00081,0.00034
electra base squad2,deepset,Text,4.7e-07,4.7e-05,2e-07,2e-05,0.0002,0.00047,0.0002
mdeberta v3 base squad2,timpal0l,Text,8.6e-07,8.6e-05,3.6e-07,3.6e-05,0.0003,0.00086,0.00036
t5 large,Google,Text,7.228e-05,0.007228,3.014e-05,0.003014,0.026,0.07228,0.03014
t5 11b,Google,Text,0.00017813,0.017813,7.428e-05,0.007428,0.0641,0.17813,0.07428
t5 3b,Google,Text,8.77e-05,0.00877,3.657e-05,0.003657,0.0316,0.0877,0.03657
